partid,line,speaker,word
2,13,interviewer,of
2,13,interviewer,the
2,13,interviewer,hands
2,13,interviewer,go
2,13,interviewer,on
2,13,interviewer,to
2,13,interviewer,the
2,13,interviewer,obstacle
2,13,interviewer,first
2,14,participant,yeah
2,14,participant,laughs
2,14,participant,the
2,14,participant,hands
2,14,participant,go
2,14,participant,onto
2,14,participant,the
2,14,participant,obstacle
2,14,participant,first
2,14,participant,and
2,14,participant,the
2,14,participant,i
2,14,participant,would
2,14,participant,say
2,14,participant,that
2,14,participant,your
2,14,participant,hands
2,14,participant,are
2,14,participant,the
2,14,participant,thing
2,14,participant,that
2,14,participant,is
2,14,participant,the
2,14,participant,most
2,14,participant,in
2,14,participant,front
2,14,participant,of
2,14,participant,you
2,14,participant,at
2,14,participant,the
2,14,participant,beginning
2,14,participant,of
2,14,participant,the
2,14,participant,movement
2,14,participant,and
2,14,participant,then
2,14,participant,they
2,14,participant,take
2,14,participant,your
2,14,participant,weight
2,14,participant,er
2,14,participant,and
2,14,participant,then
2,14,participant,your
2,14,participant,hips
2,14,participant,and
2,14,participant,legs
2,14,participant,follow
2,14,participant,so
2,14,participant,you're
2,14,participant,leading
2,14,participant,with
2,14,participant,your
2,14,participant,hands
2,15,interviewer,and
2,15,interviewer,what
2,15,interviewer,kind
2,15,interviewer,of
2,15,interviewer,what
2,15,interviewer,kind
2,15,interviewer,of
2,15,interviewer,thing
2,15,interviewer,would
2,15,interviewer,you
2,15,interviewer,be
2,15,interviewer,doing
2,15,interviewer,that
2,15,interviewer,on
2,15,interviewer,does
2,15,interviewer,that
2,15,interviewer,affect
2,15,interviewer,the
2,15,interviewer,movement
2,16,participant,yeah
2,16,participant,so
2,16,participant,i
2,16,participant,mean
2,16,participant,if
2,16,participant,you
2,16,participant,were
2,16,participant,doing
2,16,participant,it
2,16,participant,on
2,16,participant,a
2,16,participant,say
2,16,participant,it
2,16,participant,tends
2,16,participant,to
2,16,participant,be
2,16,participant,on
2,16,participant,things
2,16,participant,like
2,16,participant,low
2,16,participant,walls
2,16,participant,erm
2,16,participant,wouldn't
2,16,participant,have
2,16,participant,to
2,16,participant,be
2,16,participant,low
2,16,participant,but
2,16,participant,like
2,16,participant,a
2,16,participant,wall
2,16,participant,i
2,16,participant,mean
2,16,participant,it
2,16,participant,could
2,16,participant,be
2,16,participant,a
2,16,participant,rail
2,16,participant,that
2,16,participant,would
2,16,participant,would
2,16,participant,that
2,16,participant,wouldn't
2,16,participant,really
2,16,participant,change
2,16,participant,the
2,16,participant,movement
2,16,participant,though
2,16,participant,apart
2,16,participant,from
2,16,participant,the
2,16,participant,use
2,16,participant,of
2,16,participant,the
2,16,participant,hand
2,16,participant,so
2,16,participant,you
2,16,participant,might
2,16,participant,pull
2,16,participant,with
2,16,participant,the
2,16,participant,fingers
2,16,participant,more
2,16,participant,around
2,16,participant,a
2,16,participant,rail
2,16,participant,if
2,16,participant,you've
2,16,participant,got
2,16,participant,a
2,16,participant,grip
2,16,participant,of
2,16,participant,the
2,16,participant,rail
2,16,participant,yeah
2,16,participant,i
2,16,participant,mean
2,16,participant,you
2,16,participant,can
2,16,participant,also
2,16,participant,kong
2,16,participant,i'm
2,16,participant,trying
2,16,participant,to
2,16,participant,think
2,16,participant,now
2,16,participant,like
2,16,participant,i
2,16,participant,would
2,16,participant,say
2,16,participant,you
2,16,participant,could
2,16,participant,also
2,16,participant,it's
2,16,participant,not
2,16,participant,a
2,16,participant,kong
2,16,participant,vault
2,16,participant,if
2,16,participant,you
2,16,participant,did
2,16,participant,it
2,16,participant,on
2,16,participant,the
2,16,participant,ground
2,16,participant,but
2,16,participant,it's
2,16,participant,like
2,16,participant,a
2,16,participant,it's
2,16,participant,actually
2,16,participant,quite
2,16,participant,a
2,16,participant,lot
2,16,participant,like
2,16,participant,a
2,16,participant,bunny
2,16,participant,hop
2,16,participant,isn't
2,16,participant,it
2,16,participant,well
2,16,participant,no
2,16,participant,it's
2,16,participant,not
2,16,participant,because
2,16,participant,your
2,16,participant,feet
2,16,participant,go
2,16,participant,all
2,16,participant,the
2,16,participant,way
2,16,participant,through
2,16,participant,but
2,16,participant,you
2,16,participant,could
2,16,participant,be
2,16,participant,standing
2,16,participant,on
2,16,participant,a
2,16,participant,wall
2,16,participant,and
2,16,participant,kong
2,16,participant,down
2,16,participant,to
2,16,participant,another
2,16,participant,wall
2,16,participant,so
2,16,participant,that
2,16,participant,the
2,16,participant,thing
2,16,participant,doesn't
2,16,participant,always
2,16,participant,have
2,16,participant,to
2,16,participant,be
2,16,participant,higher
2,16,participant,than
2,16,participant,you
2,17,interviewer,so
2,17,interviewer,this
2,17,interviewer,what
2,17,interviewer,i
2,17,interviewer,find
2,17,interviewer,really
2,17,interviewer,interesting
2,17,interviewer,like
2,17,interviewer,almost
2,17,interviewer,straight
2,17,interviewer,away
2,17,interviewer,is
2,17,interviewer,that
2,17,interviewer,like
2,17,interviewer,i
2,17,interviewer,said
2,17,interviewer,the
2,17,interviewer,whole
2,17,interviewer,point
2,17,interviewer,of
2,17,interviewer,the
2,17,interviewer,study
2,17,interviewer,is
2,17,interviewer,kind
2,17,interviewer,of
2,17,interviewer,figuring
2,17,interviewer,out
2,17,interviewer,how
2,17,interviewer,do
2,17,interviewer,we
2,17,interviewer,understand
2,17,interviewer,these
2,17,interviewer,things
2,17,interviewer,when
2,17,interviewer,when
2,17,interviewer,they're
2,17,interviewer,not
2,17,interviewer,written
2,17,interviewer,down
2,17,interviewer,anywhere
2,17,interviewer,and
2,17,interviewer,as
2,17,interviewer,soon
2,17,interviewer,as
2,17,interviewer,i
2,17,interviewer,start
2,17,interviewer,talking
2,17,interviewer,to
2,17,interviewer,people
2,17,interviewer,about
2,17,interviewer,it
2,17,interviewer,there's
2,17,interviewer,almost
2,17,interviewer,so
2,17,interviewer,much
2,17,interviewer,to
2,17,interviewer,the
2,17,interviewer,movement
2,17,interviewer,it's
2,17,interviewer,hard
2,17,interviewer,to
2,17,interviewer,kind
2,17,interviewer,of
2,17,interviewer,reduce
2,17,interviewer,it
2,17,interviewer,to
2,17,interviewer,a
2,17,interviewer,single
2,17,interviewer,description
2,17,interviewer,is
2,17,interviewer,that
2,17,interviewer,is
2,17,interviewer,that
2,17,interviewer,something
2,17,interviewer,you'd
2,17,interviewer,agree
2,17,interviewer,with
2,17,interviewer,or
2,18,participant,i
2,18,participant,suppose
